2026-01-30 10:01:05 | SELL | Entry: 6965.75 | Delta: +80 | Max Profit: 0.75 pts | Max Drawdown: 7.50 pts | Profit/DD Ratio: 0.10x
2026-01-30 10:01:05 | SELL | Entry: 6965.75 | Delta: +80 | Max Profit: 0.75 pts | Max Drawdown: 7.50 pts | Profit/DD Ratio: 0.10x
2026-01-30 10:01:05 | SELL | Entry: 6965.75 | Delta: +80 | Max Profit: 0.75 pts | Max Drawdown: 7.50 pts | Profit/DD Ratio: 0.10x
2026-01-30 10:01:06 | SELL | Entry: 6965.00 | Delta: +79 | Max Profit: 0.00 pts | Max Drawdown: 8.25 pts | Profit/DD Ratio: 0.00x
2026-01-30 10:01:06 | SELL | Entry: 6965.00 | Delta: +79 | Max Profit: 0.00 pts | Max Drawdown: 8.25 pts | Profit/DD Ratio: 0.00x
2026-01-30 10:01:06 | SELL | Entry: 6965.00 | Delta: +79 | Max Profit: 0.00 pts | Max Drawdown: 8.25 pts | Profit/DD Ratio: 0.00x
2026-01-30 10:01:07 | SELL | Entry: 6965.50 | Delta: +112 | Max Profit: 0.00 pts | Max Drawdown: 7.75 pts | Profit/DD Ratio: 0.00x
2026-01-30 10:01:26 | SELL | Entry: 6966.50 | Delta: +50 | Max Profit: 0.00 pts | Max Drawdown: 6.75 pts | Profit/DD Ratio: 0.00x
2026-01-30 10:01:26 | SELL | Entry: 6966.50 | Delta: +50 | Max Profit: 0.00 pts | Max Drawdown: 6.75 pts | Profit/DD Ratio: 0.00x
2026-01-30 10:02:07 | BUY  | Entry: 6974.00 | Delta: -56 | Max Profit: 9.25 pts | Max Drawdown: 8.75 pts | Profit/DD Ratio: 1.06x
2026-01-30 10:02:08 | BUY  | Entry: 6974.00 | Delta: -52 | Max Profit: 9.25 pts | Max Drawdown: 8.75 pts | Profit/DD Ratio: 1.06x
2026-01-30 10:02:09 | BUY  | Entry: 6974.00 | Delta: -52 | Max Profit: 9.25 pts | Max Drawdown: 8.75 pts | Profit/DD Ratio: 1.06x
2026-01-30 10:10:45 | BUY  | Entry: 6979.50 | Delta: -65 | Max Profit: 9.50 pts | Max Drawdown: 2.50 pts | Profit/DD Ratio: 3.80x
2026-01-30 10:10:46 | BUY  | Entry: 6979.50 | Delta: -65 | Max Profit: 9.50 pts | Max Drawdown: 2.50 pts | Profit/DD Ratio: 3.80x
2026-01-30 10:10:46 | BUY  | Entry: 6979.50 | Delta: -65 | Max Profit: 9.50 pts | Max Drawdown: 2.50 pts | Profit/DD Ratio: 3.80x
2026-01-30 10:10:46 | BUY  | Entry: 6979.50 | Delta: -65 | Max Profit: 9.50 pts | Max Drawdown: 2.50 pts | Profit/DD Ratio: 3.80x
2026-01-30 10:18:02 | BUY  | Entry: 6984.75 | Delta: -67 | Max Profit: 0.25 pts | Max Drawdown: 7.00 pts | Profit/DD Ratio: 0.04x
2026-01-30 10:18:02 | BUY  | Entry: 6984.75 | Delta: -67 | Max Profit: 0.25 pts | Max Drawdown: 7.00 pts | Profit/DD Ratio: 0.04x
2026-01-30 10:18:02 | BUY  | Entry: 6984.75 | Delta: -67 | Max Profit: 0.25 pts | Max Drawdown: 7.00 pts | Profit/DD Ratio: 0.04x
2026-01-30 10:18:02 | BUY  | Entry: 6984.75 | Delta: -68 | Max Profit: 0.25 pts | Max Drawdown: 7.00 pts | Profit/DD Ratio: 0.04x
2026-01-30 10:18:03 | BUY  | Entry: 6984.75 | Delta: -68 | Max Profit: 0.25 pts | Max Drawdown: 7.00 pts | Profit/DD Ratio: 0.04x
2026-01-30 10:18:03 | BUY  | Entry: 6984.75 | Delta: -68 | Max Profit: 0.25 pts | Max Drawdown: 7.00 pts | Profit/DD Ratio: 0.04x
2026-01-30 10:27:25 | BUY  | Entry: 6971.00 | Delta: -57 | Max Profit: 1.75 pts | Max Drawdown: 5.00 pts | Profit/DD Ratio: 0.35x
2026-01-30 10:27:46 | BUY  | Entry: 6972.00 | Delta: -81 | Max Profit: 0.75 pts | Max Drawdown: 6.00 pts | Profit/DD Ratio: 0.12x
2026-01-30 10:27:46 | BUY  | Entry: 6972.00 | Delta: -81 | Max Profit: 0.75 pts | Max Drawdown: 6.00 pts | Profit/DD Ratio: 0.12x
2026-01-30 10:27:48 | BUY  | Entry: 6972.00 | Delta: -81 | Max Profit: 0.75 pts | Max Drawdown: 6.00 pts | Profit/DD Ratio: 0.12x
2026-01-30 10:29:15 | SELL | Entry: 6966.75 | Delta: +66 | Max Profit: 9.50 pts | Max Drawdown: 0.00 pts | Profit/DD Ratio: N/A (no drawdown)
2026-01-30 10:32:41 | BUY  | Entry: 6963.75 | Delta: -72 | Max Profit: 0.50 pts | Max Drawdown: 1.75 pts | Profit/DD Ratio: 0.29x
2026-01-30 10:32:42 | BUY  | Entry: 6963.25 | Delta: -85 | Max Profit: 1.00 pts | Max Drawdown: 1.25 pts | Profit/DD Ratio: 0.80x
2026-01-30 10:32:42 | BUY  | Entry: 6963.25 | Delta: -85 | Max Profit: 1.00 pts | Max Drawdown: 1.25 pts | Profit/DD Ratio: 0.80x
2026-01-30 10:32:42 | BUY  | Entry: 6963.25 | Delta: -85 | Max Profit: 1.00 pts | Max Drawdown: 1.25 pts | Profit/DD Ratio: 0.80x
2026-01-30 10:33:06 | SELL | Entry: 6964.00 | Delta: +93 | Max Profit: 3.00 pts | Max Drawdown: 17.00 pts | Profit/DD Ratio: 0.18x
2026-01-30 10:33:06 | SELL | Entry: 6964.00 | Delta: +93 | Max Profit: 3.00 pts | Max Drawdown: 17.00 pts | Profit/DD Ratio: 0.18x
2026-01-30 10:33:06 | SELL | Entry: 6964.00 | Delta: +93 | Max Profit: 3.00 pts | Max Drawdown: 17.00 pts | Profit/DD Ratio: 0.18x
2026-01-30 10:33:06 | SELL | Entry: 6963.75 | Delta: +109 | Max Profit: 2.75 pts | Max Drawdown: 17.25 pts | Profit/DD Ratio: 0.16x
2026-01-30 10:33:07 | SELL | Entry: 6963.75 | Delta: +109 | Max Profit: 2.75 pts | Max Drawdown: 17.25 pts | Profit/DD Ratio: 0.16x
2026-01-30 10:33:07 | SELL | Entry: 6963.75 | Delta: +109 | Max Profit: 2.75 pts | Max Drawdown: 17.25 pts | Profit/DD Ratio: 0.16x
2026-01-30 10:46:44 | BUY  | Entry: 6988.00 | Delta: -53 | Max Profit: 2.00 pts | Max Drawdown: 7.25 pts | Profit/DD Ratio: 0.28x
2026-01-30 10:46:44 | BUY  | Entry: 6988.00 | Delta: -53 | Max Profit: 2.00 pts | Max Drawdown: 7.25 pts | Profit/DD Ratio: 0.28x
2026-01-30 10:46:44 | BUY  | Entry: 6988.00 | Delta: -53 | Max Profit: 2.00 pts | Max Drawdown: 7.25 pts | Profit/DD Ratio: 0.28x
2026-01-30 10:52:23 | BUY  | Entry: 6979.00 | Delta: -53 | Max Profit: 2.50 pts | Max Drawdown: 0.25 pts | Profit/DD Ratio: 10.00x
2026-01-30 10:52:23 | BUY  | Entry: 6979.00 | Delta: -53 | Max Profit: 2.50 pts | Max Drawdown: 0.25 pts | Profit/DD Ratio: 10.00x
2026-01-30 10:52:23 | BUY  | Entry: 6979.00 | Delta: -53 | Max Profit: 2.50 pts | Max Drawdown: 0.25 pts | Profit/DD Ratio: 10.00x
2026-01-30 10:52:23 | BUY  | Entry: 6979.00 | Delta: -53 | Max Profit: 2.50 pts | Max Drawdown: 0.25 pts | Profit/DD Ratio: 10.00x
2026-01-30 10:52:23 | BUY  | Entry: 6979.00 | Delta: -53 | Max Profit: 2.50 pts | Max Drawdown: 0.25 pts | Profit/DD Ratio: 10.00x
2026-01-30 10:52:24 | BUY  | Entry: 6979.00 | Delta: -53 | Max Profit: 2.50 pts | Max Drawdown: 0.25 pts | Profit/DD Ratio: 10.00x
2026-01-30 10:52:24 | BUY  | Entry: 6979.00 | Delta: -55 | Max Profit: 2.50 pts | Max Drawdown: 0.25 pts | Profit/DD Ratio: 10.00x
2026-01-30 10:52:24 | BUY  | Entry: 6979.00 | Delta: -55 | Max Profit: 2.50 pts | Max Drawdown: 0.25 pts | Profit/DD Ratio: 10.00x
2026-01-30 10:52:25 | BUY  | Entry: 6979.00 | Delta: -55 | Max Profit: 2.50 pts | Max Drawdown: 0.25 pts | Profit/DD Ratio: 10.00x
2026-01-30 10:52:25 | BUY  | Entry: 6979.00 | Delta: -50 | Max Profit: 2.50 pts | Max Drawdown: 0.25 pts | Profit/DD Ratio: 10.00x
2026-01-30 10:52:25 | BUY  | Entry: 6979.00 | Delta: -50 | Max Profit: 2.50 pts | Max Drawdown: 0.25 pts | Profit/DD Ratio: 10.00x
2026-01-30 10:52:25 | BUY  | Entry: 6979.00 | Delta: -50 | Max Profit: 2.50 pts | Max Drawdown: 0.25 pts | Profit/DD Ratio: 10.00x
2026-01-30 10:52:25 | BUY  | Entry: 6979.00 | Delta: -50 | Max Profit: 2.50 pts | Max Drawdown: 0.25 pts | Profit/DD Ratio: 10.00x
2026-01-30 10:52:25 | BUY  | Entry: 6979.25 | Delta: -82 | Max Profit: 2.25 pts | Max Drawdown: 0.50 pts | Profit/DD Ratio: 4.50x
2026-01-30 10:52:26 | BUY  | Entry: 6979.25 | Delta: -82 | Max Profit: 2.25 pts | Max Drawdown: 0.50 pts | Profit/DD Ratio: 4.50x
2026-01-30 10:52:26 | BUY  | Entry: 6979.25 | Delta: -82 | Max Profit: 2.25 pts | Max Drawdown: 0.50 pts | Profit/DD Ratio: 4.50x
2026-01-30 10:52:41 | SELL | Entry: 6980.25 | Delta: +54 | Max Profit: 12.50 pts | Max Drawdown: 0.25 pts | Profit/DD Ratio: 50.00x
2026-01-30 10:52:41 | SELL | Entry: 6980.25 | Delta: +54 | Max Profit: 12.50 pts | Max Drawdown: 0.25 pts | Profit/DD Ratio: 50.00x
2026-01-30 10:52:42 | SELL | Entry: 6980.25 | Delta: +54 | Max Profit: 12.50 pts | Max Drawdown: 0.25 pts | Profit/DD Ratio: 50.00x
2026-01-30 10:52:43 | SELL | Entry: 6980.50 | Delta: +60 | Max Profit: 12.75 pts | Max Drawdown: 0.00 pts | Profit/DD Ratio: N/A (no drawdown)
2026-01-30 10:52:43 | SELL | Entry: 6980.50 | Delta: +60 | Max Profit: 12.75 pts | Max Drawdown: 0.00 pts | Profit/DD Ratio: N/A (no drawdown)
2026-01-30 10:52:43 | SELL | Entry: 6980.50 | Delta: +60 | Max Profit: 12.75 pts | Max Drawdown: 0.00 pts | Profit/DD Ratio: N/A (no drawdown)
2026-01-30 10:59:44 | BUY  | Entry: 6970.25 | Delta: -50 | Max Profit: 1.00 pts | Max Drawdown: 2.75 pts | Profit/DD Ratio: 0.36x
2026-01-30 10:59:44 | BUY  | Entry: 6970.25 | Delta: -50 | Max Profit: 1.00 pts | Max Drawdown: 2.75 pts | Profit/DD Ratio: 0.36x
2026-01-30 11:01:06 | SELL | Entry: 6968.75 | Delta: +73 | Max Profit: 1.75 pts | Max Drawdown: 0.50 pts | Profit/DD Ratio: 3.50x
